GRID_1K_CD,pop,emp,pc_in
나나9872,0,0,0.0
나나9873,36,1820,0.5007
나나9874,654,609,0.3458
나나9875,338,73,0.0247
나나9876,32,3,0.002
나나9877,0,143,0.0621
나나9878,0,0,0.0
나나9879,0,0,0.0
나나9880,0,0,0.0
나나9881,0,0,0.0
나나9882,0,0,0.0
나나9883,0,145,0.0
나나9884,0,0,0.0
나나9885,0,0,0.0
나나9886,1,0,0.0
나나9887,0,0,0.0
나나9888,0,0,0.0
나나9889,0,0,0.0
나나9890,2,50,0.0048
나나9891,29,5,0.0016
나나9892,182,86,0.0259
나나9893,349,223,0.0736
나나9894,249,47,0.0271
나나9895,130,39,0.0215
나나9896,165,90,0.0235
나나9897,888,87,0.037
나나9898,1151,624,0.1098
나나9899,3258,1044,0.2997
나나9972,0,311,0.197
나나9973,1128,770,0.2722
나나9974,1950,578,0.1751
나나9975,34,90,0.0259
나나9976,1,0,0.0004
나나9977,18,40,0.0016
나나9978,0,3,0.002
나나9979,0,0,0.0064
나나9980,1,89,0.0386
나나9981,0,0,0.0
나나9982,0,0,0.0
나나9983,0,0,0.0
나나9984,0,0,0.0
나나9985,0,0,0.0
나나9986,0,0,0.0
나나9987,0,0,0.0
나나9988,0,0,0.0
나나9989,0,0,0.0
나나9990,0,0,0.0
나나9991,40,45,0.0195
나나9992,3,19,0.0064
나나9993,141,69,0.0306
나나9994,99,129,0.0521
나나9995,52,225,0.0716
나나9996,335,157,0.0318
나나9997,764,247,0.0772
나나9998,135,244,0.0752
나나9999,3893,762,0.2674
나다1280,0,0,0.0
나다1281,25,12,0.0012
나다1282,0,0,0.0
나다1380,0,0,0.0
나다1381,38,0,0.0004
나다1382,0,0,0.0
나다1383,0,0,0.0
나다1480,0,0,0.0
나다1481,0,0,0.0
나다1582,0,0,0.0
나다1583,0,0,0.0
나다4380,0,0,0.0
나다4681,0,0,0.0
나다4682,0,0,0.0
나다4781,0,0,0.0
나다4782,40,5,0.0
나다4879,23,0,0.0004
나다4880,0,0,0.0
나다4881,92,5,0.0036
나다4882,0,0,0.0
나다4979,0,0,0.0
나다4980,0,0,0.0
나다4981,0,0,0.0
나다5080,0,0,0.0
나다5191,0,0,0.0
나다5192,0,0,0.0
나다5284,0,0,0.0
나다5285,0,0,0.0
나다5291,0,0,0.0
나다5292,0,0,0.0
나다5296,0,0,0.0
나다5384,0,0,0.0
나다5385,45,5,0.0008
나다5386,0,0,0.0
나다5391,0,0,0.0
나다5483,0,0,0.0
나다5484,0,0,0.0
나다5485,61,11,0.0028
나다5486,0,0,0.0
나다5574,0,0,0.0
나다5575,0,0,0.0
나다5582,0,0,0.0
나다5583,40,3,0.0
나다5584,1,0,0.0
나다5585,7,0,0.0
나다5586,0,0,0.0
나다5596,0,0,0.0
나다5598,0,0,0.0
나다5673,0,0,0.0
나다5674,0,0,0.0
나다5675,0,0,0.0
나다5682,0,0,0.0
나다5683,71,5,0.0024
나다5684,0,0,0.0
나다5690,0,0,0.0
나다5691,0,0,0.0
나다5692,0,0,0.0
나다5697,0,0,0.0
나다5698,0,0,0.0
나다5699,22,5,0.0
나다5783,0,0,0.0
나다5784,0,0,0.0
나다5790,0,0,0.0
나다5791,3,0,0.0
나다5792,0,0,0.0
나다5795,0,0,0.0
나다5796,0,0,0.0
나다5799,0,0,0.0
나다5883,0,0,0.0
나다5890,0,0,0.0
나다5891,14,3,0.0004
나다5892,6,0,0.0
