O_GRID,D_GRID,VOL
다사3543,다사3345,68.6731495465658
다사5860,다사5963,75.3198035521164
마마6527,마마6728,52.5299587215829
다사7038,다사7037,130.494581117914
라마9262,라마8960,68.76688811881
다바7833,다바8917,670.218486646931
라마9564,라마9464,61.4198359478831
다사4351,다사5451,65.1803035611764
다사4747,다사4647,179.329472981106
다사6528,다사6628,69.8579109332097
다사6310,다사6019,102.954657020018
다사5753,다사5451,50.2336300766838
다사6426,다사6224,108.289559028324
다사5751,다사5251,151.065804026603
다사5812,다사6206,72.7751962807487
다사6224,다사6426,75.0624680805708
라사2924,라사3026,50.4912131393228
다사2939,다사2940,54.3216963564849
마사2174,마사2273,55.7550577498162
다사1143,다사0541,80.9262891581444
다마6457,다마6556,103.174226904433
다사4024,다사3425,116.525030599311
다라3468,다라3469,267.600241804285
마라3984,마라3884,52.5614462146274
마마3704,마마3705,58.3004127307913
다라4378,다라4084,54.9213687726554
다사4943,다사5845,57.1637760000717
라바3887,라바3885,137.8407033477
마마0909,마마0614,63.2325126079329
라마9461,라마9160,62.6079894392488
다사8561,다사8561,57.5399691889618
다사3446,다사3345,54.9289724824751
다사7252,다사6849,64.1522776469677
다다1403,다다1302,94.7864603740722
라마9461,라마9059,60.0502401061268
다사5944,다사5841,52.8092501461735
마라1990,마라1891,164.254775627205
다사6533,다사6633,287.095084981747
다사4845,다사4945,54.5067093001776
다사5251,다사5844,54.967292774504
마마4007,마마3906,67.600804832241
다사4957,다사5351,175.001022610439
다사6019,다사6017,307.146784315585
라바3984,라바3886,59.8839592422379
다사4543,다사4742,76.7138313622168
라라9893,라라9891,82.3035010875284
다사5951,다사6049,77.4140675763427
다바2378,다바2377,106.870275710914
다사5242,다사6145,98.7906166273417
다사2339,다사2339,95.2259272276988
다사3144,다사3145,74.0818604708798
다사2660,다사3058,90.3914446652267
마마5114,마마5014,146.709669428533
마라5287,마라5287,94.5019732909021
다사4855,다사5452,64.227766593718
다사4856,다사5352,62.3481419319125
마라1987,마라1889,105.177173331603
다사4347,다사4946,55.2822865259506
다사6152,다사4947,55.1979444895787
다사6351,다사6350,100.69032884188
다바6688,다바6588,106.247299902423
다사4942,다사5452,52.9330985417497
다사6248,다사5844,88.92285111287
다바7833,다바8143,131.908524459246
다사3039,다사3239,60.7769913963533
다마2973,다마3074,51.112449524305
마라1990,마라1990,180.585582383277
다사5961,다사5451,68.2125279511578
다사3139,다사2834,60.5744099611668
다바6287,다바6293,70.4446748131451
다사7152,다사7250,56.7098414733512
다사6148,다사6045,73.6092090158711
다사5853,다사5351,77.6844513842727
다사6425,다사6633,129.129398131431
마마5010,마마5114,93.7258768782903
라마9027,라마9027,146.343524449827
마라4390,마라4490,97.8402113620739
다사5962,다사6061,77.5892596970673
다사6248,다사5945,69.0720021779975
다라3685,다라3382,127.857457850552
다사4149,다사4847,57.3211111998902
다사4258,다사4157,62.2964218488816
다사4841,다사4943,54.4166753025256
다사6843,다사6844,53.1513382103496
다바9357,다바9456,235.602662921845
라라9397,라라9196,50.9174250957945
다사3761,다사3562,64.8812021722231
다마5072,다마4972,85.664040301748
다사4747,다사4947,549.040571546178
마마0162,마마0163,126.025013929151
라마9666,라마9767,164.663542860896
다사7415,다사7315,123.43212054716
다사6743,다사6644,124.946397160052
마라4681,마라4682,88.3581157965514
다사6643,다사6045,52.4737337422264
마라0991,마라0988,91.2467230739325
다사4349,다사4151,99.3673840310202
다사3926,다사3622,117.626915696832
다사5143,다사4947,111.241595155682
마사0332,마사0231,95.4132681948727
다바7833,다바8733,164.382259177485
다사4743,다사4844,59.4802068243664
다바8523,다바8724,175.431573242154
다사5752,다사5251,153.583018565634
다사5857,다사5857,102.116280840188
다사3852,다사4151,164.501608132182
다사6214,다사6113,121.504993048982
다사4341,다사4642,76.2392289517173
다사8262,다사8260,76.7472211236559
